Rank,Track Name,Artists,Album,Duration (ms),Track ID
1,Lovers Rock,TV Girl,French Exit,213920,6dBUzqjtbnIa1TwYbyw5CM
2,DIE TRYING,"PARTYNEXTDOOR, Drake, Yebba",$ome $exy $ongs 4 U,195431,0NUqi0ps17YpLUC3kgsZq0
3,All Your'n,Tyler Childers,Country Squire,218290,0fCwTrRNfoNk962ati8n2K
4,Shut up My Moms Calling,Hotel Ugly,Shut up My Moms Calling,164571,3hxIUxnT27p5WcmjGUXNwx
5,Movin' Out (Anthony's Song),Billy Joel,The Stranger (Legacy Edition),210760,16GUMo6u3D2qo9a19AkYct
6,Blue Hair,TV Girl,Death of a Party Girl,217000,39sDitIeCMrVX2QyXHY46t
7,From The Start,Laufey,Bewitched,169573,43iIQbw5hx986dUEZbr3eN
8,Vienna,Billy Joel,The Stranger (Legacy Edition),214240,4U45aEWtQhrm8A5mxPaFZ7
9,505,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),253586,58ge6dfP91o9oXMzq3XkIS
10,Armed & Dangerous,King Von,Welcome to O'Block,122680,2297mxrYLBAC4XkhXs39If
11,Rockstar,Nickelback,All the Right Reasons (Special Edition),252040,6n9yCXvLhnYMgJIiIcMu7D
12,The Bottom 2,Glorb,The Bottom 2,164903,5fqaeJMmqwhDzdYD7b4J51
13,End of Beginning,Djo,DECIDE,159245,3qhlB30KknSejmIvZZLjOD
14,Cold as Ice,Foreigner,Foreigner (Expanded),203133,7vidktgNZFQylTgH1GEnMs
15,Self Control,Frank Ocean,Blonde,249667,5GUYJTQap5F3RDQiCOJhrS
16,Lover Girl,Laufey,Lover Girl,164400,6dWilYAxP2aJbTTt0UsatK
17,Gold Digger,"Kanye West, Jamie Foxx",Late Registration,207626,1PS1QMdUqOal0ai3Gt7sDQ
18,Far From Any Road,The Handsome Family,Singing Bones,166493,3LDkLpuxQlEuEiZmkxpr8S
19,Feel It (From “Invincible”),d4vd,Feel It (From “Invincible”),157974,3SAga35lAPYdjj3qyfEsCF
20,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),194607,1CPZ5BxNNd0n0nF4Orb9JS
21,So Be It,"Clipse, Pusha T, Malice",Let God Sort Em Out,194866,0xaQ86cGRgcF8wwP1SkXsb
22,My Way Of Life,Frank Sinatra,Cycles,187360,0Sc8AsDTBeZFWg8K9tMARE
23,Nunca Es Suficiente,"Los Ángeles Azules, Natalia Lafourcade",Esto Sí Es Cumbia,266213,63USmok1OioBzKuWGW9wAg
24,White Rabbit,Egypt Central,White Rabbit [Deluxe Edition],217786,6xwak2gJxMwbLBEJVier7X
25,No Church In The Wild,"JAŸ-Z, Kanye West, Frank Ocean, The-Dream",Watch The Throne,272506,7r6PigmGzlB3YPB7wvBBbi
26,I Wanna Be Yours,Arctic Monkeys,AM,183956,5XeFesFbtLpXzIVDNQP22n
27,Ivy,Frank Ocean,Blonde,249191,2ZWlPOoWh0626oTaHrnl2a
28,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),212000,27NovPIUIRrOZoCHxABJwK
29,"Dear Maria, Count Me In",All Time Low,"So Wrong, It's Right",182826,0JJP0IS4w0fJx01EcrfkDe
30,No Flockin',Kodak Black,No Flockin',165290,34oWbFBfGEElvgO0a5c9V4
31,Love Me Not,Ravyn Lenae,Love Me Not / Love Is Blind,213466,1UNEuG9DYOWiikf00ayr52
32,Take Me Out,Franz Ferdinand,Franz Ferdinand,237026,20I8RduZC2PWMWTDCZuuAN
33,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),189466,0AAMnNeIc6CdnfNU85GwCH
34,California Dreamin',The Mamas & The Papas,All The Leaves Are Brown The Golden Era Collection,160373,1ZEOIhSn6BKErV59bIgn76
35,Knee Socks,Arctic Monkeys,AM,257563,2LGdO5MtFdyphi2EihANZG
36,You're So Vain,Carly Simon,No Secrets,258411,2DnJjbjNTV9Nd5NOa1KGba
37,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","Metro Boomin, A$AP Rocky, Roisee",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),256026,6Ec5LeRzkisa5KJtwLfOoW
38,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Metro Boomin, Swae Lee, Lil Wayne, Offset",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),231746,39MK3d3fonIP8Mz9oHCTBB
39,Spin The Wheel (from the series Arcane League of Legends),"Arcane, League of Legends",Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),155773,3r1Fg9teKc6ZkZVtjJwCtV
40,Promise,Laufey,Bewitched,234266,08PdFBcXzpkn1cWNgmKqhn
41,What I've Done,Linkin Park,Minutes to Midnight,205226,18lR4BzEs7e3qzc0KVkTpU
42,The Kill,Thirty Seconds To Mars,A Beautiful Lie,231533,0lP4HYLmvowOKdsQ7CVkuq
43,The Night Begins to Shine,B.E.R.,The Night Begins to Shine,210509,3eX2JOSwcPjVEe2zbVZ2GH
44,What It Sounds Like,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),250268,5sBDrrtLGbV64QJnEqfjer
45,Brain Stew,Green Day,Insomniac,193000,1nLnpLXvl68RZCSjfkyiaa
46,Dreamin Of The Past (feat. Kanye West),"Pusha T, Kanye West",It's Almost Dry,173633,3Wx98ijEDnsxyMYePCuFNI
47,Jenny,NOTHING MORE,Nothing More,236600,2CASGo9Wmd6Dxrq3ygnRjf
48,The Confrontation,"Hugh Jackman, Russell Crowe",Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),114986,31dATgmleDm4vrtFKkRhEd
49,Set Fire to the Rain,Adele,21,242973,73CMRj62VK8nUS4ezD2wvi
50,Do I Wanna Know?,Arctic Monkeys,AM,272394,5FVd6KXrgO9B3JPmC8OPst
51,Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),191537,1I37Zz2g3hk9eWxaNkj031
52,Feathered Indians,Tyler Childers,Purgatory,224946,2tgQaL85WoRfgEa4hFQgrE
53,Dani California,Red Hot Chili Peppers,Stadium Arcadium,282160,10Nmj3JCNoMeBQ87uw5j8k
